gene_id,HGNC ID_x,Status,Approved symbol,Approved name,INSDC (ENA/GenBank/DDBJ) accession,HGNC ID_y,RefSeq accession
AB000463,,,,,,,
AB000812,,,,,,,
AB000815,,,,,,,
AB002155,,,,,,,
AB002326,HGNC:428,Approved,ALMS1,ALMS1 centrosome and basal body associated protein,AB002326,,
AB006589,,,,,,,
AB007447,HGNC:24808,Approved,TRAFD1,TRAF-type zinc finger domain containing 1,AB007447,,
AB007869,HGNC:29030,Approved,RRP8,ribosomal RNA processing 8,AB007869,,
AB007875,HGNC:22197,Approved,AP5Z1,adaptor related protein complex 5 subunit zeta 1,AB007875,,
AB007877,HGNC:19022,Approved,HSPA12A,heat shock protein family A (Hsp70) member 12A,AB007877,,
AB007880,HGNC:29032,Approved,SEC14L5,SEC14 like lipid binding 5,AB007880,,
AB007895,,,,,,,
AB007921,HGNC:18657,Approved,TTC39A,tetratricopeptide repeat domain 39A,AB007921,,
AB010153,HGNC:15979,Approved,TP63,tumor protein p63,AB010153,,
AB010427,,,,,,,
AB011118,HGNC:28328,Approved,ZFC3H1,zinc finger C3H1-type containing,AB011118,,
AB012701,,,,,,,
AB014594,HGNC:23479,Approved,DOCK10,dedicator of cytokinesis 10,AB014594,,
AB014731,,,,,,,
AB016898,,,,,,,
AB016902,,,,,,,
AB018195,,,,,,,
AB018275,HGNC:17809,Approved,SMG6,SMG6 nonsense mediated mRNA decay factor,AB018275,,
AB018310,,,,,,,
AB019490,,,,,,,
AB020335,,,,,,,
AB020712,,,,,,,
AB020719,HGNC:29298,Approved,CEP152,centrosomal protein 152,AB020719,,
AB021742,,,,,,,
AB022663,,,,,,,
AB022918,,,,,,,
AB023161,,,,,,,
AB023200,HGNC:19074,Approved,THOC5,THO complex subunit 5,AB023200,,
AB023231,,,,,,,
AB023420,HGNC:5237,Approved,HSPA4,heat shock protein family A (Hsp70) member 4,AB023420,,
AB023420,HGNC:5237,Approved,HSPA4,heat shock protein family A (Hsp70) member 4,AB023420,,
AB023430,,,,,,,
AB028641,,,,,,,
AB028982,HGNC:16699,Approved,SORCS3,sortilin related VPS10 domain containing receptor 3,AB028982,,
AB029006,,,,,,,
AB029041,HGNC:29511,Approved,CEP131,centrosomal protein 131,AB029041,,
AB029551,,,,,,,
AB031547,HGNC:23404,Approved,LRIT1,"leucine rich repeat, Ig-like and transmembrane domains 1",AB031547,,
AB032251,,,,,,,
AB032951,,,,,,,
AB035266,,,,,,,
AB035356,,,,,,,
AB035482,,,,,,,
AB036737,,,,,,,
AB037901,,,,,,,
AB039327,,,,,,,
AB040120,,,,,,,
AB040936,,,,,,,
AB041736,,,,,,,
AB042555,,,,,,,
AB042841,,,,,,,
AB044805,,,,,,,
AB045369,,,,,,,
AB048365,HGNC:22195,Approved,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",AB048365,,
