HGNC ID	Status	Approved symbol	Approved name	NCBI gene ID	INSDC (ENA/GenBank/DDBJ) accession	RefSeq accession
HGNC:5	Approved	A1BG	alpha-1-B glycoprotein	1		NM_130786
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	503538	BC040926	NR_015380
HGNC:24086	Approved	A1CF	APOBEC1 complementation factor	29974	AF271790	NM_014576
HGNC:7	Approved	A2M	alpha-2-macroglobulin	2	BX647329	NM_000014
HGNC:7	Approved	A2M	alpha-2-macroglobulin	2	X68728	NM_000014
HGNC:7	Approved	A2M	alpha-2-macroglobulin	2	M11313	NM_000014
HGNC:27057	Approved	A2M-AS1	A2M antisense RNA 1	144571		NR_026971
HGNC:23336	Approved	A2ML1	alpha-2-macroglobulin like 1	144568	AK057908	NM_144670
HGNC:41022	Approved	A2ML1-AS1	A2ML1 antisense RNA 1	100874108		
HGNC:41523	Approved	A2ML1-AS2	A2ML1 antisense RNA 2	106478979		
HGNC:8	Approved	A2MP1	alpha-2-macroglobulin pseudogene 1	3	M24415	NG_001067
HGNC:30005	Approved	A3GALT2	alpha 1,3-galactosyltransferase 2	127550		NM_001080438
HGNC:18149	Approved	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947		NM_017436
HGNC:17968	Approved	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	AF141315	NM_016161
HGNC:1	Entry Withdrawn	A12M1	adenovirus-12 chromosome modification site 1C			
HGNC:2	Entry Withdrawn	A12M2	adenovirus-12 chromosome modification site 1A			
HGNC:3	Entry Withdrawn	A12M3	adenovirus-12 chromosome modification site 1B			
HGNC:4	Entry Withdrawn	A12M4	adenovirus-12 chromosome modification site 17			
HGNC:13666	Approved	AAAS	aladin WD repeat nucleoporin	8086	AJ289841	NM_001173466
HGNC:12	Entry Withdrawn	AABT	amino acid transport, beta			
HGNC:21298	Approved	AACS	acetoacetyl-CoA synthetase	65985	AK022451	NM_023928
HGNC:18226	Approved	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522		NR_024035
HGNC:17	Approved	AADAC	arylacetamide deacetylase	13	L32179	NM_001086
HGNC:24427	Approved	AADACL2	arylacetamide deacetylase like 2	344752	BC065724	NM_207365
HGNC:50301	Approved	AADACL2-AS1	AADACL2 antisense RNA 1	101928142		NR_110202
HGNC:32037	Approved	AADACL3	arylacetamide deacetylase like 3	126767		NM_001103170
HGNC:32038	Approved	AADACL4	arylacetamide deacetylase like 4	343066		NM_001013630
HGNC:50305	Approved	AADACP1	arylacetamide deacetylase pseudogene 1	201651		NR_026915
HGNC:17929	Approved	AADAT	aminoadipate aminotransferase	51166	AF097994	NM_016228
HGNC:25662	Approved	AAGAB	alpha and gamma adaptin binding protein	79719	AL136715	NM_024666
HGNC:19679	Approved	AAK1	AP2 associated kinase 1	22848	AB028971	NM_014911
HGNC:30205	Approved	AAMDC	adipogenesis associated Mth938 domain containing	28971	BC016854	NM_024684
HGNC:18	Approved	AAMP	angio associated migratory cell protein	14	AB209790	NM_001087
